2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_6 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_7 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_8 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_9 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined index: bSearchable_10 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 18:08:36 Debug: Notice (8): Undefined variable: sOrder in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 188]
2011-04-19 18:08:36 Debug: Notice (8): Undefined variable: gaSql in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 190]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: sSearch in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 150]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_0 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_1 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_2 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_3 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_4 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_5 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_6 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_7 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_8 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_9 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined index: bSearchable_10 in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 164]
2011-04-19 19:08:27 Debug: Notice (8): Undefined variable: sOrder in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 188]
2011-04-19 19:08:27 Debug: Notice (8): Undefined variable: gaSql in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 190]
2011-04-20 22:14:35 Debug: Notice (8): Use of undefined constant User - assumed 'User' in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 24]
2011-04-20 22:14:35 Debug: Notice (8): Use of undefined constant username - assumed 'username' in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 24]
2011-04-21 02:19:38 Debug: Notice (8): Undefined index: Group in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 29]
2011-04-21 02:22:43 Debug: Notice (8): Undefined index: Group in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 30]
2011-04-21 02:23:09 Debug: Notice (8): Undefined index: Group in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 31]
2011-04-21 02:24:14 Debug: Notice (8): Undefined variable: user in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 31]
2011-04-21 02:24:14 Debug: Notice (8): Undefined variable: user in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 35]
2011-04-21 02:24:15 Debug: Notice (8): Undefined variable: user in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 39]
2011-04-21 02:24:15 Debug: Notice (8): Undefined variable: user in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 40]
2011-04-21 02:24:42 Debug: Notice (8): Undefined variable: user in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 40]
2011-04-21 02:24:58 Debug: Notice (8): Undefined variable: user in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 40]
2011-04-21 02:49:35 Debug: Notice (8): Undefined variable: name in [C:\wamp\www\xpert_8\app\views\users\results.ctp, line 55]
2011-04-21 03:11:12 Debug: Notice (8): Undefined variable: limit in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 113]
2011-04-21 03:11:12 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 113]
2011-04-21 03:11:12 Debug: Notice (8): Undefined variable: limit in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 117]
2011-04-21 03:11:13 Debug: Notice (8): Undefined variable: limit in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 113]
2011-04-21 03:11:13 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 113]
2011-04-21 03:11:13 Debug: Notice (8): Undefined variable: limit in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 117]
2011-04-21 03:12:21 Debug: Notice (8): Undefined variable: limit in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 113]
2011-04-21 03:12:21 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 113]
2011-04-21 03:12:21 Debug: Notice (8): Undefined variable: limit in [C:\wamp\www\xpert_8\app\controllers\users_controller.php, line 117]
2011-04-22 13:03:48 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\views\users\index.ctp, line 63]
2011-04-22 13:05:15 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\views\users\index.ctp, line 63]
2011-04-22 13:13:41 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\views\users\index.ctp, line 85]
2011-04-22 13:14:01 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\views\users\index.ctp, line 85]
2011-04-22 13:14:21 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\views\users\index.ctp, line 85]
2011-04-22 13:20:18 Debug: Notice (8): Undefined variable: page in [C:\wamp\www\xpert_8\app\views\users\index.ctp, line 85]
